,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
514,Rho-pCI,3,220.772,3429.19,0.0643802,EXP_025_50_01 Secondary Screen/map1,sPREP799,C,11,0.0901043,-0.352068,-0.0439354,0.594376,sample,2023-01-18 15:16:25
515,Rho-pCI,3,225.476,3765.56,0.0598786,EXP_025_50_01 Secondary Screen/map1,sPREP799,C,12,0.221233,-0.4114,-0.0643581,0.481972,sample,2023-01-18 15:16:25
516,AR_53,4,137.27,2333.05,0.0588371,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,1,0.840674,0.147468,-0.0355446,0.623395,sample,2023-01-18 15:16:25
517,AR_53,4,183.137,2362.45,0.07752,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,2,0.172142,0.716513,0.0245845,1.46442,sample,2023-01-18 15:16:25
518,AR_53,4,227.828,2331.87,0.097702,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,3,0.244086,0.0157301,-0.0219653,0.816447,sample,2023-01-18 15:16:25
519,AR_101,4,180.785,2409.49,0.0750302,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,4,0.418079,0.557147,0.00670091,1.09807,sample,2023-01-18 15:16:25
520,AR_101,4,147.854,2086.06,0.0708772,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,5,0.0142963,0.189184,0.0104236,1.17242,sample,2023-01-18 15:16:25
521,AR_101,4,153.735,3348.03,0.0459179,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,6,1.20214,0.542983,-0.0196159,0.700675,sample,2023-01-18 15:16:25
522,AR_74,4,2844.65,2636.48,1.07896,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,7,0.0655989,6.2047,0.919377,6.76118,sample,2023-01-18 15:16:25
523,AR_74,4,2423.61,2121.35,1.14249,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,8,0.190796,3.72952,0.854831,3.97173,sample,2023-01-18 15:16:25
524,AR_74,4,3049.3,2664.71,1.14433,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,9,0.523979,5.51907,0.876815,4.27766,sample,2023-01-18 15:16:25
525,Rho-pCI,4,307.802,4493.58,0.0684982,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,10,0.722053,-0.0839992,-0.0602763,0.531924,sample,2023-01-18 15:16:25
526,Rho-pCI,4,232.533,3537.39,0.0657357,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,11,0.208544,-0.392979,-0.0651404,0.502274,sample,2023-01-18 15:16:25
527,Rho-pCI,4,201.954,3215.13,0.0628137,EXP_025_50_01 Secondary Screen/map1,sPREP799,D,12,0.0107222,-0.225513,-0.0191595,0.766271,sample,2023-01-18 15:16:25
528,AR_53,5,334.7,3143.79,0.106464,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,1,0.427684,0.703938,0.0172607,1.1935,sample,2023-01-18 15:16:25
529,AR_53,5,206.393,2547.08,0.0810311,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,2,0.339301,-0.311611,-0.0766197,0.513991,sample,2023-01-18 15:16:25
530,AR_53,5,186.462,2275.52,0.0819426,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,3,0.307875,-0.180639,-0.0488553,0.626482,sample,2023-01-18 15:16:25
531,AR_101,5,187.708,2740.17,0.0685021,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,4,0.523666,-0.188492,-0.0601156,0.532602,sample,2023-01-18 15:16:25
532,AR_101,5,154.074,2584.46,0.0596155,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,5,0.371529,-0.220563,-0.0452864,0.568298,sample,2023-01-18 15:16:25
533,AR_101,5,197.673,2097.38,0.0942477,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,6,-0.164295,-0.101877,0.00655011,1.07469,sample,2023-01-18 15:16:25
534,AR_74,5,2706.54,2203.27,1.22842,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,7,0.333164,6.32328,1.00479,5.49316,sample,2023-01-18 15:16:25
535,AR_74,5,2804.95,3445.25,0.814149,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,8,0.480816,4.05224,0.575521,3.41179,sample,2023-01-18 15:16:25
536,AR_74,5,2915.82,2365.21,1.2328,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,9,-0.060841,4.63097,1.02718,5.99576,sample,2023-01-18 15:16:25
537,Rho-pCI,5,333.454,4201.42,0.0793671,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,10,0.493216,-0.014723,-0.0409161,0.659836,sample,2023-01-18 15:16:25
538,Rho-pCI,5,309.786,5810.92,0.053311,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,11,1.73804,-0.343294,-0.168961,0.239845,sample,2023-01-18 15:16:25
539,Rho-pCI,5,453.042,5122.02,0.0884498,EXP_025_50_01 Secondary Screen/map1,sPREP799,E,12,0.681214,0.130563,-0.0430803,0.672468,sample,2023-01-18 15:16:25
540,AR_53,6,256.221,2589.44,0.0989484,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,1,0.320068,0.329703,0.000717048,1.0073,sample,2023-01-18 15:16:25
541,AR_53,6,172.759,3057.83,0.0564973,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,2,0.592217,-0.244985,-0.0626473,0.474191,sample,2023-01-18 15:16:25
542,AR_53,6,193.936,2331.57,0.0831781,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,3,0.192397,-0.278184,-0.0542272,0.605348,sample,2023-01-18 15:16:25
543,AR_101,6,159.056,2092.4,0.0760164,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,4,0.142112,-0.21514,-0.0346011,0.6872,sample,2023-01-18 15:16:25
544,AR_101,6,174.005,3027.93,0.0574665,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,5,1.11423,0.228703,-0.0414163,0.581158,sample,2023-01-18 15:16:25
545,AR_101,6,212.621,2814.92,0.0755339,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,6,0.643792,0.239678,-0.0246227,0.754158,sample,2023-01-18 15:16:25
546,AR_74,6,2301.68,2152.19,1.06946,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,7,0.434142,4.137,0.770888,3.58193,sample,2023-01-18 15:16:25
547,AR_74,6,2168.39,3067.8,0.706821,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,8,0.282863,3.01374,0.480909,3.12874,sample,2023-01-18 15:16:25
548,AR_74,6,2463.62,2091.15,1.17812,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,9,0.0626713,3.08882,0.871929,3.84768,sample,2023-01-18 15:16:25
549,Rho-pCI,6,363.351,3640.83,0.0997989,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,10,0.107211,-0.148825,-0.0300199,0.768756,sample,2023-01-18 15:16:25
550,Rho-pCI,6,389.511,3542.42,0.109956,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,11,0.161313,-0.169904,-0.0438736,0.714791,sample,2023-01-18 15:16:25
551,Rho-pCI,6,355.877,5175.59,0.0687607,EXP_025_50_01 Secondary Screen/map1,sPREP799,F,12,0.753281,-0.231379,-0.0880875,0.43839,sample,2023-01-18 15:16:25
552,AR_53,7,185.216,1954.12,0.0947823,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,1,-0.19583,-0.172525,0.00266952,1.02898,sample,2023-01-18 15:16:25
553,AR_53,7,228.816,3345.6,0.0683931,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,2,0.663297,0.0637,-0.0385525,0.639513,sample,2023-01-18 15:16:25
554,AR_53,7,210.13,2371.44,0.0886087,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,3,0.141515,0.0835022,-0.00474428,0.949179,sample,2023-01-18 15:16:25
555,AR_101,7,237.535,2160.91,0.109924,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,4,0.00872261,0.481799,0.035094,1.46899,sample,2023-01-18 15:16:25
556,AR_101,7,197.673,2581.96,0.0765592,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,5,0.622226,-0.0185547,-0.0499851,0.604999,sample,2023-01-18 15:16:25
557,AR_101,7,144.108,2245.62,0.064173,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,6,0.764431,-0.0868299,-0.0598223,0.517544,sample,2023-01-18 15:16:25
558,AR_74,7,2377.67,2584.46,0.919987,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,7,0.115013,3.00411,0.663801,3.59109,sample,2023-01-18 15:16:25
559,AR_74,7,1728.65,3392.93,0.509484,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,8,0.515114,2.3626,0.279922,2.21937,sample,2023-01-18 15:16:25
560,AR_74,7,1636.46,2675.39,0.611672,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,9,0.142579,2.55355,0.415,3.11011,sample,2023-01-18 15:16:25
561,Rho-pCI,7,284.872,6900.97,0.04128,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,10,1.64975,-0.326774,-0.121194,0.254072,sample,2023-01-18 15:16:25
562,Rho-pCI,7,337.191,4781.93,0.0705136,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,11,0.248486,-0.178959,-0.0367103,0.657629,sample,2023-01-18 15:16:25
563,Rho-pCI,7,353.386,4708.43,0.0750537,EXP_025_50_01 Secondary Screen/map1,sPREP799,G,12,-0.219027,-0.202427,0.00156211,1.02126,sample,2023-01-18 15:16:25
564,AR_53,8,137.88,2831.11,0.0487016,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,1,0.425167,-0.335964,-0.0558228,0.465935,sample,2023-01-18 15:16:25
565,AR_53,8,177.742,3553.63,0.050017,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,2,0.920128,-0.312975,-0.0897726,0.357802,sample,2023-01-18 15:16:25
566,AR_53,8,177.742,2143.47,0.0829225,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,3,0.200185,-0.0205924,-0.0186924,0.816047,sample,2023-01-18 15:16:25
567,AR_101,8,227.57,3064.06,0.0742707,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,4,0.42287,0.346392,-0.00421876,0.946251,sample,2023-01-18 15:16:25
568,AR_101,8,198.919,2797.48,0.0711065,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,5,0.128098,0.168271,0.0024451,1.03561,sample,2023-01-18 15:16:25
569,AR_101,8,141.617,2339.05,0.0605445,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,6,-0.10997,-0.570491,-0.0649159,0.482579,sample,2023-01-18 15:16:25
570,AR_74,8,1687.54,2722.73,0.619796,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,7,0.404971,3.67644,0.433587,3.32849,sample,2023-01-18 15:16:25
571,AR_74,8,1807.13,2628.06,0.687629,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,8,0.315527,2.08865,0.394752,2.34784,sample,2023-01-18 15:16:25
572,AR_74,8,1612.8,3521.24,0.458019,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,9,0.339866,2.80026,0.296534,2.8363,sample,2023-01-18 15:16:25
573,Rho-pCI,8,389.511,5495.75,0.070875,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,10,0.598633,-0.219624,-0.0743154,0.488152,sample,2023-01-18 15:16:25
574,Rho-pCI,8,430.619,4343.43,0.0991426,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,11,0.204516,0.123503,-0.00714894,0.932742,sample,2023-01-18 15:16:25
575,Rho-pCI,8,312.277,6319.19,0.0494173,EXP_025_50_01 Secondary Screen/map1,sPREP799,H,12,0.546242,-0.152189,-0.0407102,0.548304,sample,2023-01-18 15:16:25
576,AR_53,1,229.004,2343.63,0.0977135,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,1,0.358628,1.41234,0.0426813,1.77557,sample,2023-01-18 15:16:25
577,AR_53,1,321.915,2170.74,0.148297,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,2,0.224995,2.71307,0.099372,3.03109,sample,2023-01-18 15:16:25
578,AR_53,1,321.915,2404.79,0.133864,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,3,0.508223,1.38602,0.0492475,1.58201,sample,2023-01-18 15:16:25
579,AR_101,1,174.904,2527.1,0.0692114,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,4,0.240804,0.307781,0.00354461,1.05398,sample,2023-01-18 15:16:25
580,AR_101,1,174.904,2931.69,0.05966,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,5,0.411736,1.07366,0.0190438,1.46887,sample,2023-01-18 15:16:25
581,AR_101,1,217.244,2592.97,0.0837819,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,6,0.055032,0.624356,0.0293649,1.53963,sample,2023-01-18 15:16:25
582,AR_74,1,3776.14,2069.6,1.82458,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,7,-0.224016,10.5198,1.70167,14.8454,sample,2023-01-18 15:16:25
583,AR_74,1,4184.26,2182.5,1.91718,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,8,-0.283984,8.57119,1.77376,13.3673,sample,2023-01-18 15:16:25
584,AR_74,1,3338.62,3616.19,0.923244,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,9,0.664974,7.07113,0.73279,4.8476,sample,2023-01-18 15:16:25
585,Rho-pCI,1,273.696,7035.23,0.0389036,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,10,1.14424,-0.170991,-0.0617208,0.386622,sample,2023-01-18 15:16:25
586,Rho-pCI,1,211.363,4734.69,0.0446414,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,11,0.250338,-0.491919,-0.0652167,0.406355,sample,2023-01-18 15:16:25
587,Rho-pCI,1,336.028,4084.29,0.0822735,EXP_025_50_01 Secondary Screen/map1,sPREP800,A,12,0.158457,0.0400412,-0.00936738,0.897782,sample,2023-01-18 15:16:25
588,AR_53,2,240.765,2154.28,0.111762,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,1,0.330499,0.628395,0.0204454,1.2239,sample,2023-01-18 15:16:25
589,AR_53,2,321.915,3556.21,0.0905221,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,2,0.499334,1.77274,0.0415731,1.84932,sample,2023-01-18 15:16:25
590,AR_53,2,378.368,1907.29,0.198379,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,3,0.409313,2.39661,0.116068,2.41012,sample,2023-01-18 15:16:25
591,AR_101,2,253.702,2277.77,0.111382,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,4,0.104351,1.02139,0.0505304,1.83039,sample,2023-01-18 15:16:25
592,AR_101,2,260.759,2807.02,0.0928953,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,5,0.550108,0.899611,0.0170915,1.22547,sample,2023-01-18 15:16:25
593,AR_101,2,230.18,2228.37,0.103295,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,6,0.119336,1.28329,0.0526569,2.03986,sample,2023-01-18 15:16:25
594,AR_74,2,3984.32,3448,1.15554,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,7,0.461687,9.36912,0.992651,7.09394,sample,2023-01-18 15:16:25
595,AR_74,2,4851.13,4927.57,0.984485,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,8,1.47518,7.74421,0.705813,3.53276,sample,2023-01-18 15:16:25
596,AR_74,2,3297.46,4003.13,0.82372,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,9,1.26808,5.66422,0.543377,2.93826,sample,2023-01-18 15:16:25
597,Rho-pCI,2,276.048,5744.99,0.0480502,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,10,0.95257,-0.244596,-0.07615,0.386877,sample,2023-01-18 15:16:25
598,Rho-pCI,2,271.344,3842,0.0706255,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,11,0.577587,-0.328759,-0.0953625,0.425486,sample,2023-01-18 15:16:25
599,Rho-pCI,2,253.702,3943.15,0.06434,EXP_025_50_01 Secondary Screen/map1,sPREP800,B,12,11.8107,-0.211898,-0.981511,0.0615192,sample,2023-01-18 15:16:25
600,AR_53,3,190.194,1706.18,0.111473,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,1,0.0591367,0.707369,0.0423228,1.61204,sample,2023-01-18 15:16:25
601,AR_53,3,314.859,2209.55,0.142499,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,2,0.138813,1.18158,0.0681126,1.91566,sample,2023-01-18 15:16:25
602,AR_53,3,414.826,2088.42,0.198632,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,3,-0.129431,1.15443,0.118368,2.47474,sample,2023-01-18 15:16:25
603,AR_101,3,273.696,2133.11,0.128308,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,4,0.200569,1.99441,0.0768649,2.49416,sample,2023-01-18 15:16:25
604,AR_101,3,166.672,2878.76,0.057897,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,5,0.560338,-0.0899066,-0.0413663,0.583267,sample,2023-01-18 15:16:25
605,AR_101,3,231.357,3244.53,0.0713066,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,6,0.930918,0.953164,0.000812167,1.01152,sample,2023-01-18 15:16:25
606,AR_74,3,3123.39,3286.87,0.950263,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,7,0.748111,5.66073,0.700866,3.81025,sample,2023-01-18 15:16:25
607,AR_74,3,2796.43,3323.33,0.841454,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,8,0.97367,5.26188,0.576238,3.17271,sample,2023-01-18 15:16:25
608,AR_74,3,2769.38,2173.09,1.2744,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,9,0.210257,4.50537,0.994243,4.54892,sample,2023-01-18 15:16:25
609,Rho-pCI,3,214.891,3759.68,0.0571569,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,10,0.578076,-0.320039,-0.0754948,0.430879,sample,2023-01-18 15:16:25
610,Rho-pCI,3,209.011,3491.52,0.0598624,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,11,0.10992,-0.386584,-0.0484532,0.552667,sample,2023-01-18 15:16:25
611,Rho-pCI,3,241.941,3531.51,0.0685094,EXP_025_50_01 Secondary Screen/map1,sPREP800,C,12,0.145327,-0.368418,-0.0557273,0.551442,sample,2023-01-18 15:16:25
612,AR_53,4,192.546,2443.6,0.0787959,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,1,0.927897,0.609533,-0.0155857,0.834865,sample,2023-01-18 15:16:25
613,AR_53,4,146.678,2128.4,0.0689147,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,2,0.0560191,0.374791,0.0159792,1.30186,sample,2023-01-18 15:16:25
614,AR_53,4,227.828,2402.44,0.0948322,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,3,0.281734,0.0157301,-0.0248351,0.792465,sample,2023-01-18 15:16:25
615,AR_101,4,104.339,2257.77,0.0462133,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,4,0.328787,-0.101299,-0.0221161,0.676331,sample,2023-01-18 15:16:25
616,AR_101,4,172.552,2972.85,0.0580427,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,5,0.445475,0.387827,-0.00241099,0.960118,sample,2023-01-18 15:16:25
617,AR_101,4,139.622,2360.1,0.0591593,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,6,0.552331,0.401335,-0.00637448,0.90273,sample,2023-01-18 15:16:25
618,AR_74,4,2398.91,1957.87,1.22527,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,7,-0.20868,5.07575,1.06568,7.678,sample,2023-01-18 15:16:25
619,AR_74,4,2420.08,3699.69,0.654129,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,8,1.07679,3.72264,0.366475,2.27401,sample,2023-01-18 15:16:25
620,AR_74,4,2889.35,3056.36,0.945357,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,9,0.747967,5.17711,0.677845,3.53388,sample,2023-01-18 15:16:25
621,Rho-pCI,4,265.463,4466.53,0.0594339,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,10,0.711687,-0.209998,-0.0693407,0.461534,sample,2023-01-18 15:16:25
622,Rho-pCI,4,240.765,4180.73,0.0575893,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,11,0.428341,-0.371488,-0.0732868,0.440029,sample,2023-01-18 15:16:25
623,Rho-pCI,4,290.161,3243.36,0.0894631,EXP_025_50_01 Secondary Screen/map1,sPREP800,D,12,0.0195957,0.112756,0.00748991,1.09137,sample,2023-01-18 15:16:25
624,AR_53,5,246.255,2334.07,0.105505,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,1,0.059966,0.253671,0.0163016,1.18275,sample,2023-01-18 15:16:25
625,AR_53,5,216.359,3436.53,0.0629584,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,2,0.806989,-0.278373,-0.0946924,0.399353,sample,2023-01-18 15:16:25
626,AR_53,5,235.044,2838.58,0.0828033,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,3,0.631503,0.0328435,-0.0479946,0.633063,sample,2023-01-18 15:16:25
627,AR_101,5,145.354,2736.43,0.0531179,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,4,0.521588,-0.371598,-0.0754998,0.412991,sample,2023-01-18 15:16:25
628,AR_101,5,207.639,2720.24,0.076331,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,5,0.443587,0.0504145,-0.0285709,0.727642,sample,2023-01-18 15:16:25
629,AR_101,5,278.644,2411.3,0.115557,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,6,-0.0392125,0.266011,0.0278598,1.31768,sample,2023-01-18 15:16:25
630,AR_74,5,3189.88,3041.64,1.04874,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,7,0.840452,7.6311,0.82511,4.68966,sample,2023-01-18 15:16:25
631,AR_74,5,3173.69,3618.41,0.877093,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,8,0.555241,4.7164,0.638466,3.67557,sample,2023-01-18 15:16:25
632,AR_74,5,2524.66,3172.44,0.795811,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,9,0.259688,3.87558,0.5902,3.87046,sample,2023-01-18 15:16:25
633,Rho-pCI,5,355.877,2711.52,0.131246,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,10,-0.0363047,0.0515304,0.0109631,1.09114,sample,2023-01-18 15:16:25
634,Rho-pCI,5,306.049,5074.68,0.060309,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,11,1.39113,-0.351216,-0.161963,0.271329,sample,2023-01-18 15:16:25
635,Rho-pCI,5,287.363,4545.24,0.0632229,EXP_025_50_01 Secondary Screen/map1,sPREP800,E,12,0.491896,-0.282886,-0.0683071,0.480673,sample,2023-01-18 15:16:25
636,AR_53,6,183.97,2175.86,0.0845507,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,1,0.109229,-0.0452534,-0.0136807,0.86073,sample,2023-01-18 15:16:25
637,AR_53,6,177.742,2586.95,0.0687072,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,2,0.347027,-0.223209,-0.0504374,0.576671,sample,2023-01-18 15:16:25
638,AR_53,6,210.13,2124.79,0.0988948,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,3,0.0866424,-0.217911,-0.0385106,0.71973,sample,2023-01-18 15:16:25
639,AR_101,6,177.742,3181.16,0.0558733,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,4,0.736402,-0.122937,-0.0547442,0.505104,sample,2023-01-18 15:16:25
640,AR_101,6,166.531,2960.67,0.0562477,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,5,1.06726,0.175925,-0.0426351,0.568832,sample,2023-01-18 15:16:25
641,AR_101,6,178.988,2213.23,0.0808716,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,6,0.292433,0.0435779,-0.019285,0.807452,sample,2023-01-18 15:16:25
642,AR_74,6,2601.9,3070.29,0.847443,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,7,1.04593,4.80704,0.548873,2.83834,sample,2023-01-18 15:16:25
643,AR_74,6,2147.21,2452.41,0.87555,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,8,0.0255253,2.97454,0.649638,3.87561,sample,2023-01-18 15:16:25
644,AR_74,6,2073.71,3309.47,0.626599,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,9,0.681791,2.44169,0.32041,2.04645,sample,2023-01-18 15:16:25
645,Rho-pCI,6,328.472,4456.79,0.0737013,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,10,0.355352,-0.230533,-0.0561174,0.567725,sample,2023-01-18 15:16:25
646,Rho-pCI,6,311.032,3546.16,0.0877095,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,11,0.162539,-0.337153,-0.0661203,0.570172,sample,2023-01-18 15:16:25
647,Rho-pCI,6,338.437,5540.6,0.0610832,EXP_025_50_01 Secondary Screen/map1,sPREP800,F,12,0.87693,-0.269046,-0.095765,0.389441,sample,2023-01-18 15:16:25
648,AR_53,7,177.742,3282.06,0.0541555,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,1,0.350651,-0.205917,-0.0379572,0.587927,sample,2023-01-18 15:16:25
649,AR_53,7,161.548,2496.01,0.0647224,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,2,0.240916,-0.249009,-0.0422231,0.605191,sample,2023-01-18 15:16:25
650,AR_53,7,314.769,2413.79,0.130404,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,3,0.161903,0.623055,0.0370513,1.39689,sample,2023-01-18 15:16:25
651,AR_101,7,180.233,2410.06,0.0747839,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,4,0.125024,0.124335,-4.58342e-05,0.999387,sample,2023-01-18 15:16:25
652,AR_101,7,165.285,2823.64,0.0585362,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,5,0.774066,-0.179362,-0.0680081,0.462575,sample,2023-01-18 15:16:25
653,AR_101,7,197.673,2274.27,0.0869171,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,6,0.786943,0.252596,-0.0370781,0.700971,sample,2023-01-18 15:16:25
654,AR_74,7,2195.79,3173.69,0.691874,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,7,0.369224,2.69783,0.435688,2.70067,sample,2023-01-18 15:16:25
655,AR_74,7,2192.05,2580.72,0.849397,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,8,0.15242,3.26402,0.619834,3.70006,sample,2023-01-18 15:16:25
656,AR_74,7,1784.7,2905.85,0.614176,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,9,0.241001,2.87545,0.417503,3.12284,sample,2023-01-18 15:16:25
657,Rho-pCI,7,358.368,4329.73,0.0827693,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,10,0.662474,-0.153083,-0.0797046,0.509431,sample,2023-01-18 15:16:25
658,Rho-pCI,7,319.752,4080.58,0.0783594,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,11,0.0653737,-0.221424,-0.0288646,0.730801,sample,2023-01-18 15:16:25
659,Rho-pCI,7,322.243,3880.02,0.083052,EXP_025_50_01 Secondary Screen/map1,sPREP800,G,12,-0.356434,-0.272714,0.00956036,1.13009,sample,2023-01-18 15:16:25
660,AR_53,8,266.187,2687.85,0.0990332,EXP_025_50_01 Secondary Screen/map1,sPREP800,H,1,0.353052,0.28197,-0.00549113,0.947466,sample,2023-01-18 15:16:25
661,AR_53,8,175.251,2737.68,0.0640142,EXP_025_50_01 Secondary Screen/map1,sPREP800,H,2,0.479246,-0.322605,-0.0757753,0.457933,sample,2023-01-18 15:16:25
