,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
34,Rho-pCI,3,340.733,3145.74,0.108316,EXP_025_50_01 Secondary Screen/map1,Neg,C,11,1,1,1,1,no-odor,2023-01-18 15:16:25
35,Rho-pCI,3,383.072,3083.41,0.124237,EXP_025_50_01 Secondary Screen/map1,Neg,C,12,1,1,1,1,no-odor,2023-01-18 15:16:25
36,AR_53,4,119.628,1267.49,0.0943816,EXP_025_50_01 Secondary Screen/map1,Neg,D,1,1,1,1,1,no-odor,2023-01-18 15:16:25
37,AR_53,4,106.691,2015.5,0.0529355,EXP_025_50_01 Secondary Screen/map1,Neg,D,2,1,1,1,1,no-odor,2023-01-18 15:16:25
38,AR_53,4,224.3,1874.36,0.119667,EXP_025_50_01 Secondary Screen/map1,Neg,D,3,1,1,1,1,no-odor,2023-01-18 15:16:25
39,AR_101,4,116.1,1699.12,0.0683293,EXP_025_50_01 Secondary Screen/map1,Neg,D,4,1,1,1,1,no-odor,2023-01-18 15:16:25
40,AR_101,4,124.333,2056.66,0.0604536,EXP_025_50_01 Secondary Screen/map1,Neg,D,5,1,1,1,1,no-odor,2023-01-18 15:16:25
41,AR_101,4,99.6348,1520.36,0.0655338,EXP_025_50_01 Secondary Screen/map1,Neg,D,6,1,1,1,1,no-odor,2023-01-18 15:16:25
42,AR_74,4,394.833,2474.18,0.159581,EXP_025_50_01 Secondary Screen/map1,Neg,D,7,1,1,1,1,no-odor,2023-01-18 15:16:25
43,AR_74,4,512.442,1781.45,0.287654,EXP_025_50_01 Secondary Screen/map1,Neg,D,8,1,1,1,1,no-odor,2023-01-18 15:16:25
44,AR_74,4,467.751,1748.52,0.267512,EXP_025_50_01 Secondary Screen/map1,Neg,D,9,1,1,1,1,no-odor,2023-01-18 15:16:25
45,Rho-pCI,4,336.028,2609.43,0.128775,EXP_025_50_01 Secondary Screen/map1,Neg,D,10,1,1,1,1,no-odor,2023-01-18 15:16:25
46,Rho-pCI,4,383.072,2926.98,0.130876,EXP_025_50_01 Secondary Screen/map1,Neg,D,11,1,1,1,1,no-odor,2023-01-18 15:16:25
47,Rho-pCI,4,260.759,3181.02,0.0819732,EXP_025_50_01 Secondary Screen/map1,Neg,D,12,1,1,1,1,no-odor,2023-01-18 15:16:25
48,AR_53,5,196.427,2202.02,0.0892033,EXP_025_50_01 Secondary Screen/map1,Neg,E,1,1,1,1,1,no-odor,2023-01-18 15:16:25
49,AR_53,5,299.82,1901.8,0.157651,EXP_025_50_01 Secondary Screen/map1,Neg,E,2,1,1,1,1,no-odor,2023-01-18 15:16:25
50,AR_53,5,227.57,1739.86,0.130798,EXP_025_50_01 Secondary Screen/map1,Neg,E,3,1,1,1,1,no-odor,2023-01-18 15:16:25
51,AR_101,5,231.307,1798.41,0.128618,EXP_025_50_01 Secondary Screen/map1,Neg,E,4,1,1,1,1,no-odor,2023-01-18 15:16:25
52,AR_101,5,197.673,1884.36,0.104902,EXP_025_50_01 Secondary Screen/map1,Neg,E,5,1,1,1,1,no-odor,2023-01-18 15:16:25
53,AR_101,5,220.096,2509.71,0.0876976,EXP_025_50_01 Secondary Screen/map1,Neg,E,6,1,1,1,1,no-odor,2023-01-18 15:16:25
54,AR_74,5,369.58,1652.66,0.223627,EXP_025_50_01 Secondary Screen/map1,Neg,E,7,1,1,1,1,no-odor,2023-01-18 15:16:25
55,AR_74,5,555.189,2326.59,0.238628,EXP_025_50_01 Secondary Screen/map1,Neg,E,8,1,1,1,1,no-odor,2023-01-18 15:16:25
